file,vibration,vib_rms,vib_peak,vib_kurtosis
2003.10.22.12.06.24,0.1152674245,0.1152674245,0.4710000000,4.8079901942
2003.10.22.12.09.13,0.1092078942,0.1092078942,0.6270000000,4.8731890659
2003.10.22.12.14.13,0.1136959390,0.1136959390,0.6010000000,4.4296947985
2003.10.22.12.19.13,0.1144129187,0.1144129187,0.5250000000,4.3781844935
2003.10.22.12.24.13,0.1142575622,0.1142575622,0.5220000000,4.4976534755
2003.10.22.12.29.13,0.1137288064,0.1137288064,0.4300000000,4.1280423345
2003.10.22.12.34.13,0.1126843914,0.1126843914,0.4660000000,4.2382990767
2003.10.22.12.39.13,0.1133326612,0.1133326612,0.5320000000,4.4840469165
2003.10.22.12.44.13,0.1128486228,0.1128486228,0.5050000000,4.5150450897
2003.10.22.12.49.13,0.1135867491,0.1135867491,0.4640000000,4.2208301070
2003.10.22.12.54.13,0.1135895866,0.1135895866,0.4660000000,4.3222388292
2003.10.22.12.59.13,0.1138464006,0.1138464006,0.5400000000,4.5207373215
2003.10.22.13.04.13,0.1135682814,0.1135682814,0.4420000000,4.4146504750
2003.10.22.13.09.13,0.1147123896,0.1147123896,0.5250000000,4.1750943279
2003.10.22.13.14.13,0.1135202986,0.1135202986,0.4540000000,4.4147457471
2003.10.22.13.19.13,0.1138783899,0.1138783899,0.5740000000,4.7268779723
2003.10.22.13.24.13,0.1129496003,0.1129496003,0.4490000000,4.3456919099
2003.10.22.13.29.13,0.1142684344,0.1142684344,0.5220000000,4.7535774649
2003.10.22.13.34.13,0.1140741890,0.1140741890,0.5150000000,4.3241084878
2003.10.22.13.39.13,0.1132276082,0.1132276082,0.5080000000,4.1465728303
2003.10.22.13.44.13,0.1136968383,0.1136968383,0.5300000000,4.3359711604
2003.10.22.13.49.13,0.1141487101,0.1141487101,0.5270000000,4.3961360471
2003.10.22.13.54.13,0.1140398287,0.1140398287,0.5690000000,4.5440600189
2003.10.22.13.59.13,0.1154694234,0.1154694234,0.4880000000,4.4565099119
2003.10.22.14.04.13,0.1136742710,0.1136742710,0.4520000000,4.3433383698
2003.10.22.14.09.13,0.1179111674,0.1179111674,0.4790000000,4.5455178510
2003.10.22.14.14.13,0.1139324018,0.1139324018,0.5220000000,4.4729816228
2003.10.22.14.19.13,0.1138228995,0.1138228995,0.5370000000,4.5430292793
2003.10.22.14.24.13,0.1132199149,0.1132199149,0.4790000000,4.2419022222
2003.10.22.14.29.13,0.1158472204,0.1158472204,0.5150000000,4.3321506864
2003.10.22.14.34.13,0.1156600943,0.1156600943,0.6250000000,5.2132128591
2003.10.22.14.39.13,0.1151365252,0.1151365252,0.5370000000,5.0773360050
2003.10.22.14.44.13,0.1145534724,0.1145534724,0.5440000000,4.8796647729
2003.10.22.14.49.13,0.1148709251,0.1148709251,0.4910000000,4.6074369732
2003.10.22.14.54.13,0.1194742746,0.1194742746,0.6710000000,4.6605256043
2003.10.22.14.59.13,0.1139444620,0.1139444620,0.4860000000,4.6509185746
2003.10.22.15.04.13,0.1130290280,0.1130290280,0.4960000000,4.7905756754
2003.10.22.15.09.13,0.1130109106,0.1130109106,0.4910000000,4.6939025836
2003.10.22.15.14.13,0.1139007035,0.1139007035,0.5740000000,4.6696170155
2003.10.22.15.19.13,0.1150259210,0.1150259210,0.5540000000,5.0830016701
2003.10.22.15.24.13,0.1145490792,0.1145490792,0.4520000000,4.7051633951
2003.10.22.15.29.13,0.1126569365,0.1126569365,0.5250000000,4.5348161421
2003.10.22.15.37.48,0.1124238162,0.1124238162,0.4300000000,4.2285981036
2003.10.22.15.44.13,0.1140475465,0.1140475465,0.4790000000,4.6029030887
2003.10.22.15.54.13,0.1142251650,0.1142251650,0.4830000000,4.5047404941
2003.10.22.16.04.13,0.1137584928,0.1137584928,0.5690000000,4.5194648412
2003.10.22.16.14.13,0.1130203107,0.1130203107,0.4610000000,4.3481116239
2003.10.22.16.24.13,0.1139400001,0.1139400001,0.5080000000,4.6065553043
2003.10.22.16.34.13,0.1174590096,0.1174590096,0.4960000000,4.1485774408
2003.10.22.16.44.13,0.1150502391,0.1150502391,0.5440000000,4.2456796457
2003.10.22.16.54.13,0.1155132080,0.1155132080,0.5270000000,4.2397000904
2003.10.22.17.04.13,0.1149193091,0.1149193091,0.7500000000,4.5763264245
2003.10.22.17.14.13,0.1153786355,0.1153786355,0.4710000000,4.1544554858
2003.10.22.17.19.38,0.1133930526,0.1133930526,0.4830000000,4.2480394924
2003.10.22.17.24.13,0.1156824866,0.1156824866,0.5790000000,4.9777535184
2003.10.22.17.34.13,0.1145424711,0.1145424711,0.4470000000,4.2237126005
2003.10.22.17.44.13,0.1156009874,0.1156009874,0.5590000000,4.3669483342
2003.10.22.17.54.13,0.1155684577,0.1155684577,0.4910000000,4.1501104072
2003.10.22.18.04.13,0.1144385198,0.1144385198,0.5150000000,4.2620372798
2003.10.22.18.14.13,0.1151432129,0.1151432129,0.5220000000,4.2460361718
2003.10.22.18.24.13,0.1140860316,0.1140860316,0.5220000000,4.0740047113
2003.10.22.18.34.13,0.1156997930,0.1156997930,0.4440000000,3.9990319615
2003.10.22.18.44.13,0.1146077769,0.1146077769,0.5080000000,4.1379350409
2003.10.22.18.54.13,0.1155204335,0.1155204335,0.4520000000,4.2303263730
2003.10.22.19.04.13,0.1149218270,0.1149218270,0.4710000000,4.0880140220
2003.10.22.19.14.13,0.1151798757,0.1151798757,0.4790000000,4.2742800822
2003.10.22.19.24.13,0.1158958409,0.1158958409,0.4960000000,3.8631178617
2003.10.22.19.34.13,0.1163362042,0.1163362042,0.4710000000,4.2604362413
2003.10.22.19.44.13,0.1158741614,0.1158741614,0.4760000000,4.4427583808
2003.10.22.19.54.13,0.1150283213,0.1150283213,0.4790000000,4.0202323397
2003.10.22.20.04.13,0.1155221595,0.1155221595,0.4540000000,4.0384059363
2003.10.22.20.14.13,0.1150580121,0.1150580121,0.4810000000,4.1172926744
2003.10.22.20.24.13,0.1157993793,0.1157993793,0.5270000000,4.2790237092
2003.10.22.20.34.13,0.1155343422,0.1155343422,0.4960000000,4.2430653473
2003.10.22.20.44.13,0.1156061302,0.1156061302,0.5660000000,4.5302870166
2003.10.22.20.54.13,0.1159126079,0.1159126079,0.5000000000,4.3356568168
2003.10.22.21.04.13,0.1162684220,0.1162684220,0.4610000000,4.1211516722
2003.10.22.21.14.13,0.1176057976,0.1176057976,0.5710000000,4.7408865184
2003.10.22.21.24.13,0.1159167982,0.1159167982,0.4660000000,4.3426966258
2003.10.22.21.34.13,0.1168612933,0.1168612933,0.4830000000,4.3681442653
2003.10.22.21.44.13,0.1172874012,0.1172874012,0.4930000000,4.2929687547
2003.10.22.21.54.13,0.1149905098,0.1149905098,0.5050000000,4.1361409908
2003.10.22.22.04.13,0.1161102371,0.1161102371,0.5420000000,4.3705508239
2003.10.22.22.14.13,0.1169013327,0.1169013327,0.5660000000,4.2478033672
2003.10.22.22.24.13,0.1154287118,0.1154287118,0.5300000000,4.2049663392
2003.10.22.22.34.13,0.1156784019,0.1156784019,0.5440000000,4.4032204882
2003.10.22.22.44.13,0.1157715885,0.1157715885,0.5000000000,3.9094389953
2003.10.22.22.54.13,0.1162296145,0.1162296145,0.4860000000,4.4193054137
2003.10.22.23.04.13,0.1162938461,0.1162938461,0.5420000000,4.4817277048
2003.10.22.23.14.13,0.1163812865,0.1163812865,0.4960000000,4.0906702373
2003.10.22.23.24.13,0.1158851446,0.1158851446,0.4880000000,4.4097921014
2003.10.22.23.34.13,0.1157486037,0.1157486037,0.4520000000,4.1284789391
2003.10.22.23.44.13,0.1153243911,0.1153243911,0.5220000000,4.1770478184
2003.10.22.23.54.13,0.1160563474,0.1160563474,0.6050000000,4.2582414032
2003.10.23.00.04.13,0.1164001896,0.1164001896,0.5180000000,4.1801105766
2003.10.23.00.14.13,0.1342615059,0.1342615059,0.4810000000,4.1725108791
2003.10.23.00.24.13,0.1159575271,0.1159575271,0.4860000000,4.0608719742
2003.10.23.00.34.13,0.1161938156,0.1161938156,0.4470000000,4.3726864635
2003.10.23.00.44.13,0.1171101338,0.1171101338,0.7690000000,4.5841541208
2003.10.23.00.54.13,0.1173479830,0.1173479830,0.4960000000,4.2548982533
2003.10.23.01.04.13,0.1160327064,0.1160327064,0.4690000000,4.1120733480
2003.10.23.01.14.13,0.1172618981,0.1172618981,0.4490000000,4.0796523472
2003.10.23.01.24.13,0.1164775426,0.1164775426,0.5000000000,4.0367164946
2003.10.23.01.34.13,0.1155318347,0.1155318347,0.5080000000,4.4117745185
